                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86015,                 1.8352,                 1.1962,                0.60823,                 0.6417,                0.65138,                0.47239,                0.92914,                 1.6071,                  1.267,             0.00020747,             0.00020747,             0.00020747
                      2,                  0.905,                 1.3686,                 1.2124,                  0.551,                0.62015,                 0.5892,                0.40696,                0.97952,                 2.0319,                 1.3279,             0.00040757,             0.00040757,             0.00040757
                      3,                0.91133,                 1.3329,                 1.2182,                0.66215,                0.60759,                0.67095,                0.48253,                0.99272,                 1.3788,                 1.3135,             0.00059942,             0.00059942,             0.00059942
                      4,                0.91246,                 1.2849,                 1.2223,                0.67329,                0.70149,                  0.758,                0.55653,                0.92086,                  1.245,                  1.271,             0.00058787,             0.00058787,             0.00058787
                      5,                0.88377,                 1.1535,                 1.1979,                0.68222,                0.66954,                 0.7152,                0.53308,                0.90438,                 1.3402,                 1.2602,             0.00058787,             0.00058787,             0.00058787
                      6,                0.86876,                 1.0792,                 1.1939,                0.79217,                0.77618,                0.84067,                0.64248,                0.85053,                0.90632,                 1.2122,              0.0005755,              0.0005755,              0.0005755
                      7,                0.85814,                 1.0266,                 1.1819,                0.81338,                0.75432,                0.84349,                0.65774,                0.80933,                0.87851,                 1.1663,             0.00056313,             0.00056313,             0.00056313
                      8,                0.83342,                0.94988,                 1.1674,                0.79709,                0.77287,                0.84927,                0.65809,                0.80862,                0.85381,                 1.1722,             0.00055075,             0.00055075,             0.00055075
                      9,                0.81168,                0.93666,                 1.1614,                0.81231,                0.81551,                 0.8889,                0.70403,                0.78633,                0.78833,                 1.1529,             0.00053838,             0.00053838,             0.00053838
                     10,                0.80752,                0.87756,                 1.1509,                0.87685,                0.81199,                0.89824,                0.70586,                0.79687,                 0.6624,                 1.1525,               0.000526,               0.000526,               0.000526
                     11,                0.79816,                0.85439,                 1.1455,                0.82597,                0.83527,                0.88937,                0.69565,                0.79484,                0.70431,                 1.1613,             0.00051363,             0.00051363,             0.00051363
                     12,                0.78192,                0.81227,                  1.134,                0.85687,                0.82678,                0.89417,                0.70937,                 0.7837,                0.66737,                 1.1523,             0.00050125,             0.00050125,             0.00050125
                     13,                0.77152,                0.79402,                 1.1329,                0.85602,                0.84099,                 0.9061,                0.71697,                0.77244,                 0.6532,                 1.1411,             0.00048888,             0.00048888,             0.00048888
                     14,                0.76457,                0.76342,                 1.1278,                0.83673,                0.85064,                0.89753,                0.72155,                0.75412,                0.68018,                 1.1333,              0.0004765,              0.0004765,              0.0004765
                     15,                0.76016,                0.73144,                 1.1327,                0.86762,                0.85669,                 0.9185,                0.74246,                0.75424,                0.59333,                 1.1307,             0.00046413,             0.00046413,             0.00046413
                     16,                0.74818,                0.70869,                 1.1181,                0.89041,                0.87776,                0.93724,                0.75706,                0.74967,                 0.5353,                 1.1268,             0.00045175,             0.00045175,             0.00045175
                     17,                0.74807,                0.69181,                 1.1121,                0.87067,                0.84671,                0.90933,                0.72856,                0.75425,                0.61649,                 1.1139,             0.00043937,             0.00043937,             0.00043937
                     18,                0.73364,                0.68321,                 1.1068,                0.88262,                0.89325,                0.94025,                0.76237,                0.74308,                0.53142,                 1.1099,               0.000427,               0.000427,               0.000427
                     19,                0.73361,                0.64809,                 1.1005,                0.85655,                0.88167,                0.91687,                0.74523,                0.73826,                0.56172,                 1.1187,             0.00041462,             0.00041462,             0.00041462
                     20,                0.72727,                0.64747,                 1.1075,                0.88389,                0.88516,                0.93463,                0.76056,                0.73117,                0.52581,                 1.1283,             0.00040225,             0.00040225,             0.00040225
                     21,                 0.7267,                0.62712,                 1.0964,                0.89083,                0.87693,                0.93524,                0.76261,                0.72539,                0.51519,                 1.1141,             0.00038988,             0.00038988,             0.00038988
                     22,                0.70151,                 0.5993,                 1.0874,                0.89408,                0.88501,                0.93756,                0.76862,                0.72295,                0.50793,                 1.1113,              0.0003775,              0.0003775,              0.0003775
                     23,                0.71536,                0.58932,                 1.0957,                0.90211,                0.87752,                0.93711,                0.76539,                0.72623,                0.50318,                 1.1159,             0.00036513,             0.00036513,             0.00036513
                     24,                0.69632,                0.58082,                 1.0849,                0.88648,                 0.8957,                0.93754,                0.77137,                 0.7246,                0.50397,                 1.1085,             0.00035275,             0.00035275,             0.00035275
                     25,                0.70087,                0.57383,                 1.0891,                0.91503,                0.88314,                0.94319,                0.78212,                0.71763,                0.47025,                    1.1,             0.00034038,             0.00034038,             0.00034038
                     26,                 0.6936,                0.56791,                 1.0863,                0.88662,                0.88635,                0.93301,                0.76999,                0.72117,                0.50559,                 1.1041,               0.000328,               0.000328,               0.000328
                     27,                0.68724,                0.54617,                  1.082,                0.88799,                0.91908,                0.94602,                 0.7821,                0.71647,                0.47123,                 1.1058,             0.00031562,             0.00031562,             0.00031562
                     28,                0.68515,                0.53559,                 1.0747,                0.90311,                 0.8984,                0.94888,                0.78251,                0.71838,                0.47797,                 1.0935,             0.00030325,             0.00030325,             0.00030325
                     29,                0.68382,                0.53374,                 1.0738,                0.90952,                0.90275,                0.94726,                0.78879,                 0.6996,                0.44985,                 1.0917,             0.00029088,             0.00029088,             0.00029088
                     30,                0.67227,                0.50637,                 1.0695,                0.91202,                0.89418,                 0.9455,                0.78985,                0.70421,                0.45191,                 1.0873,              0.0002785,              0.0002785,              0.0002785
                     31,                0.66313,                0.50042,                 1.0655,                0.92433,                0.89919,                0.95134,                0.79258,                0.70627,                0.43521,                 1.0899,             0.00026613,             0.00026613,             0.00026613
                     32,                0.65921,                0.48533,                  1.063,                 0.9181,                0.89716,                0.94896,                0.79014,                0.69999,                 0.4515,                 1.0974,             0.00025375,             0.00025375,             0.00025375
                     33,                0.66938,                0.48843,                 1.0647,                0.92027,                0.90666,                0.95467,                 0.8009,                0.69605,                0.43309,                 1.0875,             0.00024137,             0.00024137,             0.00024137
                     34,                0.65248,                0.47874,                 1.0575,                0.91609,                0.90393,                0.94985,                0.79814,                0.69931,                 0.4426,                 1.1014,               0.000229,               0.000229,               0.000229
                     35,                0.65113,                0.46602,                 1.0508,                0.91014,                0.91412,                0.95534,                  0.802,                0.69358,                0.42806,                 1.0819,             0.00021662,             0.00021662,             0.00021662
                     36,                0.64647,                 0.4585,                 1.0546,                  0.923,                 0.9049,                0.95026,                0.79535,                0.69846,                0.44052,                 1.0991,             0.00020425,             0.00020425,             0.00020425
                     37,                 0.6339,                 0.4472,                 1.0422,                0.92279,                0.90882,                0.95673,                 0.8032,                0.69855,                0.42093,                 1.0959,             0.00019188,             0.00019188,             0.00019188
                     38,                0.62495,                0.42666,                 1.0387,                0.92553,                0.91147,                0.95652,                0.80736,                0.69205,                0.40994,                 1.0865,              0.0001795,              0.0001795,              0.0001795
                     39,                0.62443,                0.43574,                 1.0434,                0.92383,                 0.9183,                0.96024,                0.80691,                0.69477,                0.41219,                 1.0964,             0.00016713,             0.00016713,             0.00016713
